3129,3982,0
3502,7212,1
5891,8498,0
5178,11871,0
5617,8495,0
5507,5706,0
710,4240,0
3560,13125,0
5002,4150,0
199,8679,0
578,13830,0
5164,7720,0
4110,10173,0
4028,6932,0
4421,9561,0
5702,14111,0
3724,12927,0
4061,936,0
3509,8163,1
4164,4126,0
2941,1215,0
5323,1482,0
4872,9379,0
3771,12286,0
512,6507,0
2251,12514,0
1536,12862,0
4894,14431,0
215,6400,0
5168,8583,0
2799,13624,0
4228,4244,1
362,3302,0
612,2291,0
1735,5003,0
4550,5992,0
5176,4802,0
2094,9844,0
2525,11773,0
665,8233,0
5405,12257,0
3851,3101,0
3065,10326,0
1735,4554,0
988,13139,0
3643,11336,0
4632,1103,0
5853,1154,0
2908,14216,0
1187,2877,0
2765,13766,0
27,7431,0
5592,9954,0
2446,11512,1
638,8906,0
2492,2135,0
5165,11655,0
5751,3552,0
638,10839,0
3872,1699,0
931,6860,0
4668,12298,1
2621,10990,0
1508,9979,1
5726,9296,0
4785,5156,1
4998,6392,1
5642,2732,1
4561,6288,1
3704,530,0
2629,1044,1
2649,7779,1
1062,2242,0
2289,6546,0
44,13476,0
5424,6052,0
2115,8351,0
3786,6509,0
3065,7697,0
4274,4921,0
4440,322,0
1819,9262,1
982,2528,0
1839,14456,0
3770,2251,0
1202,6470,0
3850,10467,0
4469,6251,1
5814,15099,0
4162,2641,1
284,3181,0
5619,8637,0
3741,14460,0
3709,3243,0
5964,2836,0
3245,1662,0
1991,14833,0
2816,14626,0
1315,11627,0
5090,10120,0
1196,346,0
4993,1469,0
54,1619,0
1820,9281,0
3140,10093,0
4772,8253,0
2125,558,0
3982,14238,0
2186,5080,0
1589,11005,0
5165,4502,0
4314,12138,0
2127,3596,0
2557,1604,0
1465,6985,0
2823,13094,0
4326,13753,1
3875,13749,0
1273,14875,0
3441,8264,1
4933,3889,0
2534,12228,0
5864,219,0
332,8342,0
4933,4770,0
193,10547,0
4238,3256,1
819,87,0
2635,3000,0
3394,7845,0
2451,14824,0
19,2811,0
420,2993,0
5642,317,0
4785,11880,0
3703,7419,0
329,1185,0
1627,1438,0
5267,557,0
135,12968,0
2622,11885,0
5462,58,1
2830,11278,0
2758,1973,0
4466,4023,0
4821,12122,0
6025,14236,0
5263,10663,0
4347,4120,0
5557,3553,0
1320,12620,0
5574,9184,0
4567,1249,0
4586,13963,0
1325,14407,0
2449,7443,0
5267,7856,1
2260,267,0
1220,14230,0
1837,4764,0
819,2681,0
4793,4134,0
59,7741,0
1314,6599,0
2793,6185,0
1562,2151,0
5195,12159,0
1053,7094,1
5627,10752,0
1656,13540,0
2234,15099,0
5749,3973,0
4905,195,0
5218,12496,0
4659,8745,0
581,7204,0
5833,7108,1
25,6814,0
435,12757,0
3019,13754,1
1702,13074,0
1735,1252,1
4274,5672,0
3035,3107,0
5427,5131,0
254,12309,0
5184,687,0
5652,4832,0
2262,7558,1
2092,4598,0
2596,5011,0
1694,8580,0
3469,346,0
9,9685,0
4764,9999,0
348,2590,0
4795,4220,0
319,7875,0
4216,14006,0
4937,4810,0
2504,5474,0
3363,4714,0
3618,12824,0
1826,2271,0
3813,9175,0
2675,12603,0
1571,13820,0
674,12248,0
5541,12994,0
5872,5208,0
1166,6470,0
5528,531,0
5344,8172,0
2210,13336,0
4979,4395,1
617,14446,0
2115,84,0
5032,12056,0
1855,4152,0
5378,2914,0
5339,7670,0
5420,6790,0
112,7201,0
583,1228,0
1338,14022,0
4425,4391,0
4257,12660,0
5048,12289,0
4938,5369,0
2607,5375,0
348,12834,0
2757,10406,0
840,10839,0
1656,4375,0
621,10402,0
5772,8913,0
4537,300,0
